Complaint 1,,Complaint 1,,Complaint 1,,Complaint 1,,Complaint 1,,Complaint 1,
Subfolder Title,Subfolder TItle,Subfolder Title,Subfolder TItle,Subfolder Title,Subfolder TItle,Subfolder Title,Subfolder TItle,Subfolder Title,Subfolder TItle,Subfolder Title,Subfolder TItle
,,,,,,,,,,,
Full Folder,Link,Full Folder,Link,Full Folder,Link,Full Folder,Link,Full Folder,Link,Full Folder,Link
Complaint,Link,Complaint,Link,Complaint,Link,Complaint,Link,Complaint,Link,Complaint,Link
Exhibit,Link,Exhibit,Link,Exhibit,Link,Exhibit,Link,Exhibit,Link,Exhibit,Link
Track Changes,Link,Track Changes,Link,Track Changes,Link,Track Changes,Link,Track Changes,Link,Track Changes,Link
Source Data,Link,Source Data,Link,Source Data,Link,Source Data,Link,Source Data,Link,Source Data,Link
Civilyzer (Includes Call Data),EMAIL FOLDER LINK,Civilyzer (Includes Call Data),EMAIL FOLDER LINK,Civilyzer (Includes Call Data),EMAIL FOLDER LINK,Civilyzer (Includes Call Data),EMAIL FOLDER LINK,Civilyzer (Includes Call Data),EMAIL FOLDER LINK,Civilyzer (Includes Call Data),EMAIL FOLDER LINK
Date of request:,[Date of Request],Date of request:,[Date of Request],Date of request:,[Date of Request],Date of request:,[Date of Request],Date of request:,[Date of Request],Date of request:,[Date of Request]
Date of next request:,[Date of Next Request],Date of next request:,[Date of Next Request],Date of next request:,[Datxe of Next Request],Date of next request:,[Date of Next Request],Date of next request:,[Date of Next Request],Date of next request:,[Date of Next Request]
Who called,[Who Called],Who called,[Who Called],Who called,[Who Called],Who called,[Who Called],Who called,[Who Called],Who called,[Who Called]
Spoke To:,[Spoke To],Spoke To:,[Spoke To],Spoke To:,[Spoke To],Spoke To:,[Spoke To],Spoke To:,[Spoke To],Spoke To:,[Spoke To]
When,[When],When,[When],When,[When],When,[When],When,[When],When,[When]
Result,[Result],Result,[Result],Result,[Result],Result,[Result],Result,[Result],Result,[Result]
Lawyer Review,[Law State],Lawyer Review,[Law State],Lawyer Review,[Law State],Lawyer Review,[Law State],Lawyer Review,[Law State],Lawyer Review,[Law State]
